Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290430,2904308,Brejões,4,2010,1881,6,14282,42.0,42.0,24.22 ,22.5 ,47.62,9.6,65,2,7,2,2,23.1,31.48848755,762.4684873,0.593418366,0.343450916
BA-2010,29,BA,NE,290440,2904407,Brejolândia,3,2010,1882,3,11077,27.1,27.1,26.3 ,57.1 ,43.73,18.0,82,4,4,3,0,28.2,31.88681166,782.2559543,0.614497651,0.39027254
BA-2010,29,BA,NE,290450,2904506,Brotas de Macaúbas,2,2010,1883,3,10717,28.0,28.0,21.22 ,51.3 ,22.77,22.1,71,3,11,5,3,26.7,29.53948663,712.5760002,0.603210562,0.341576215
BA-2010,29,BA,NE,290460,2904605,Brumado,2,2010,1884,392,64602,606.8,606.8,16.28 ,20.7 ,39.59,7.9,30,4,39,64,1,18.1,34.1480592,612.5323357,0.450707296,0.130280465
BA-2010,29,BA,NE,290470,2904704,Buerarema,4,2010,1885,6,18605,32.2,32.2,23.1 ,13.5 ,53.76,4.4,18,3,8,13,3,23.5,26.63223965,1355.255791,0.818844203,0.678706009
BA-2010,29,BA,NE,290475,2904753,Buritirama,2,2010,1886,18,19600,91.8,91.8,26.03 ,51.8 ,22.87,28.3,60,6,4,3,0,25.5,32.35573178,721.3935041,0.592947046,0.343193489
BA-2010,29,BA,NE,290480,2904803,Caatiba,4,2010,1887,14,11420,122.6,122.6,30,34.2 ,49.42,12.3,53,2,8,5,2,27.1,29.29207476,771.8068226,0.732159067,0.52393203
BA-2010,29,BA,NE,290485,2904852,Cabaceiras do Paraguaçu,4,2010,1888,0,17327,0.0,0.0,26.48 ,53.3 ,32.7,27.5,73,1,13,3,1,25,31.07936826,880.6130204,0.529573108,0.30038757
BA-2010,29,BA,NE,290490,2904902,Cachoeira,4,2010,1889,21,32026,65.6,65.6,16.09 ,17.7 ,21.85,9.4,49,5,25,27,1,25.2,29.23833478,1289.072541,0.703807569,0.538448712
BA-2010,29,BA,NE,290500,2905008,Caculé,2,2010,1890,4,22236,18.0,18.0,20.17 ,12.5 ,48.29,5.2,40,5,17,19,,24.1,32.25261964,665.9479505,0.525186827,0.231985588
BA-2010,29,BA,NE,290510,2905107,Caém,2,2010,1891,6,10368,57.9,57.9,25.2 ,31.8 ,42.48,15.5,65,3,6,6,,37.2,33.52225498,782.0114505,0.62428086,0.378635206
BA-2010,29,BA,NE,290515,2905156,Caetanos,2,2010,1892,0,13639,0.0,0.0,27.04 ,69.1 ,30.45,32.9,76,2,6,5,1,32.3,33.66232763,542.3618267,0.444485666,0.148814303
BA-2010,29,BA,NE,290520,2905206,Caetité,2,2010,1893,108,47515,227.3,227.3,20.42 ,34.4 ,44.05,15.9,40,3,18,29,0,19,30.16702158,723.1224708,0.588447994,0.330203746
BA-2010,29,BA,NE,290530,2905305,Cafarnaum,2,2010,1894,1014,17209,5892.3,5892.3,21.82 ,18.3 ,32.74,7.7,39,5,7,7,1,30.4,34.5222144,544.3420282,0.433927228,0.097974742
BA-2010,29,BA,NE,290540,2905404,Cairu,4,2010,1895,5,15374,32.5,32.5,15.61 ,1.7 ,49.54,1.2,47,3,9,5,,18.1,27.06206049,1870.360332,0.677749534,0.630303379
BA-2010,29,BA,NE,290550,2905503,Caldeirão Grande,2,2010,1896,4,12491,32.0,32.0,29.26 ,24.1 ,39.64,16.5,64,2,7,6,1,26,35.19874126,758.8675036,0.575615979,0.315698264
BA-2010,29,BA,NE,290560,2905602,Camacan,4,2010,1897,5,31472,15.9,15.9,22.82 ,9.7 ,17.49,5.1,22,5,16,25,0,24.2,26.80241687,1310.960468,0.820109872,0.663046297
BA-2010,29,BA,NE,290570,2905701,Camaçari,4,2010,1898,217,242970,89.3,89.3,7.78 ,2.2 ,43.67,0.8,5,11,96,473,8,17.37,30.80746858,1924.904222,0.60203447,0.438685468
BA-2010,29,BA,NE,290580,2905800,Camamu,4,2010,1899,6,35180,17.1,17.1,26.65 ,28.5 ,55.26,19.1,56,2,13,21,4,35.3,26.05499551,1536.902581,0.782261949,0.679595589
BA-2010,29,BA,NE,290590,2905909,Campo Alegre de Lourdes,2,2010,1900,30,28090,106.8,106.8,27.96 ,68.4 ,44.15,30.3,71,11,11,9,,22.5,33.55747024,677.1910386,0.567496825,0.295531253
BA-2010,29,BA,NE,290600,2906006,Campo Formoso,2,2010,1901,34,66616,51.0,51.0,24.55 ,29.5 ,44.35,16.6,63,3,25,35,1,27.6,33.44042557,503.6202759,0.49427911,0.189552436
BA-2010,29,BA,NE,290610,2906105,Canápolis,3,2010,1902,48,9410,510.1,510.1,30.9 ,16.7 ,40.6,9.1,66,2,9,9,,30.8,31.48112748,859.9038742,0.596050092,0.356144576
